"País","Puntuación","Categoría"
"Noruega",9.87,"Democracia plena"
"Islandia",9.58,"Democracia plena"
"Suecia",9.39,"Democracia plena"
"Nueva Zelanda",9.27,"Democracia plena"
"Finlandia",9.25,"Democracia plena"
"Irlanda",9.23,"Democracia plena"
"Dinamarca",9.21,"Democracia plena"
"Canadá",9.18,"Democracia plena"
"Australia",9.1,"Democracia plena"
"Suiza",9.03,"Democracia plena"
"Países Bajos",8.89,"Democracia plena"
"Luxemburgo",8.81,"Democracia plena"
"Alemania",8.68,"Democracia plena"
"Reino Unido",8.53,"Democracia plena"
"Uruguay",8.38,"Democracia plena"
"Austria",8.29,"Democracia plena"
"Mauricio",8.22,"Democracia plena"
"Malta",8.21,"Democracia plena"
"España",8.08,"Democracia plena"
"Costa Rica",8.07,"Democracia plena"
"Corea del Sur",8,"Democracia imperfecta"
"Japón",7.99,"Democracia imperfecta"
"Chile",7.97,"Democracia imperfecta"
"Estonia",7.97,"Democracia imperfecta"
"Estados Unidos",7.96,"Democracia imperfecta"
"Cabo Verde",7.88,"Democracia imperfecta"
"Portugal",7.84,"Democracia imperfecta"
"Botsuana",7.81,"Democracia imperfecta"
"Francia",7.8,"Democracia imperfecta"
"Israel",7.79,"Democracia imperfecta"
"Bélgica",7.78,"Democracia imperfecta"
"República de China",7.73,"Democracia imperfecta"
"Italia",7.71,"Democracia imperfecta"
"República Checa",7.69,"Democracia imperfecta"
"Chipre",7.59,"Democracia imperfecta"
"Eslovenia",7.5,"Democracia imperfecta"
"Lituania",7.5,"Democracia imperfecta"
"Letonia",7.38,"Democracia imperfecta"
"Grecia",7.29,"Democracia imperfecta"
"Sudáfrica",7.24,"Democracia imperfecta"
"Timor Oriental",7.19,"Democracia imperfecta"
"Trinidad y Tobago",7.16,"Democracia imperfecta"
"Eslovaquia",7.1,"Democracia imperfecta"
"Panamá",7.05,"Democracia imperfecta"
"Bulgaria",7.03,"Democracia imperfecta"
"Argentina",7.02,"Democracia imperfecta"
"Jamaica",7.02,"Democracia imperfecta"
"Surinam",6.98,"Democracia imperfecta"
"Brasil",6.97,"Democracia imperfecta"
"Colombia",6.96,"Democracia imperfecta"
"India",6.9,"Democracia imperfecta"
"Malasia",6.88,"Democracia imperfecta"
"Guyana",6.67,"Democracia imperfecta"
"Lesoto",6.64,"Democracia imperfecta"
"Filipinas",6.71,"Democracia imperfecta"
"Ghana",6.63,"Democracia imperfecta"
"Hungría",6.63,"Democracia imperfecta"
"Polonia",6.62,"Democracia imperfecta"
"Perú",6.6,"Democracia imperfecta"
"Croacia",6.57,"Democracia imperfecta"
"República Dominicana",6.54,"Democracia imperfecta"
"Mongolia",6.5,"Democracia imperfecta"
"Indonesia",6.5,"Democracia imperfecta"
"Túnez",6.41,"Democracia imperfecta"
"Serbia",6.4,"Democracia imperfecta"
"Singapur",6.38,"Democracia imperfecta"
"Rumania",6.37,"Democracia imperfecta"
"Ecuador",6.27,"Democracia imperfecta"
"Namibia",6.25,"Democracia imperfecta"
"Paraguay",6.24,"Democracia imperfecta"
"Sri Lanka",6.19,"Democracia imperfecta"
"México",6.19,"Democracia imperfecta"
"Hong Kong",6.15,"Democracia imperfecta"
"Senegal",6.15,"Democracia imperfecta"
"Papúa Nueva Guinea",6.03,"Democracia imperfecta"
"Albania",5.98,"Régimen híbrido"
"El Salvador",5.96,"Régimen híbrido"
"Macedonia del Norte",5.87,"Régimen híbrido"
"Moldavia",5.85,"Régimen híbrido"
"Fiyi",5.85,"Régimen híbrido"
"Montenegro",5.74,"Régimen híbrido"
"Benín",5.74,"Régimen híbrido"
"Bolivia",5.7,"Régimen híbrido"
"Ucrania",5.69,"Régimen híbrido"
"Honduras",5.63,"Régimen híbrido"
"Zambia",5.61,"Régimen híbrido"
"Guatemala",5.6,"Régimen híbrido"
"Bangladés",5.57,"Régimen híbrido"
"Georgia",5.5,"Régimen híbrido"
"Malaui",5.49,"Régimen híbrido"
"Tanzania",5.41,"Régimen híbrido"
"Malí",5.41,"Régimen híbrido"
"Liberia",5.35,"Régimen híbrido"
"Bután",5.3,"Régimen híbrido"
"Madagascar",5.22,"Régimen híbrido"
"Uganda",5.2,"Régimen híbrido"
"Nepal",5.18,"Régimen híbrido"
"Kenia",5.11,"Régimen híbrido"
"Kirguistán",5.11,"Régimen híbrido"
"Marruecos",4.99,"Régimen híbrido"
"Bosnia y Herzegovina",4.98,"Régimen híbrido"
"Haití",4.91,"Régimen híbrido"
"Armenia",4.79,"Régimen híbrido"
"Burkina Faso",4.75,"Régimen híbrido"
"Sierra Leona",4.66,"Régimen híbrido"
"Líbano",4.63,"Régimen híbrido"
"Tailandia",4.63,"Régimen híbrido"
"Nigeria",4.44,"Régimen híbrido"
"Palestina",4.39,"Régimen híbrido"
"Turquía",4.37,"Régimen híbrido"
"Gambia",4.31,"Régimen híbrido"
"Pakistán",4.25,"Régimen híbrido"
"Costa de Marfil",4.15,"Régimen híbrido"
"Irak",4.06,"Régimen híbrido"
"Jordania",3.93,"Régimen autoritario"
"Mozambique",3.85,"Régimen autoritario"
"Kuwait",3.85,"Régimen autoritario"
"Birmania",3.83,"Régimen autoritario"
"Mauritania",3.82,"Régimen autoritario"
"Níger",3.76,"Régimen autoritario"
"Comoras",3.71,"Régimen autoritario"
"Nicaragua",3.63,"Régimen autoritario"
"Angola",3.62,"Régimen autoritario"
"Gabón",3.61,"Régimen autoritario"
"Camboya",3.59,"Régimen autoritario"
"Argelia",3.5,"Régimen autoritario"
"Egipto",3.36,"Régimen autoritario"
"Etiopía",3.35,"Régimen autoritario"
"Ruanda",3.35,"Régimen autoritario"
"República del Congo",3.31,"Régimen autoritario"
"Camerún",3.28,"Régimen autoritario"
"Catar",3.19,"Régimen autoritario"
"Zimbabue",3.17,"Régimen autoritario"
"Venezuela",3.16,"Régimen autoritario"
"Guinea",3.14,"Régimen autoritario"
"Bielorrusia",3.13,"Régimen autoritario"
"Togo",3.1,"Régimen autoritario"
"Vietnam",3.08,"Régimen autoritario"
"Omán",3.04,"Régimen autoritario"
"Suazilandia",3.03,"Régimen autoritario"
"Cuba",3,"Régimen autoritario"
"Afganistán",2.97,"Régimen autoritario"
"Kazajistán",2.94,"Régimen autoritario"
"Rusia",2.93,"Régimen autoritario"
"Yibuti",2.87,"Régimen autoritario"
"Emiratos Árabes Unidos",2.76,"Régimen autoritario"
"Baréin",2.71,"Régimen autoritario"
"Azerbaiyán",2.65,"Régimen autoritario"
"Irán",2.45,"Régimen autoritario"
"Eritrea",2.37,"Régimen autoritario"
"Burundi",2.33,"Régimen autoritario"
